#x		f(x)		Analytical'	Numerical'	Analytical''	Numerical''
#-------------------------------------------------------------------------------------------
0.810000	0.475408	-0.998790	0.098368	-0.998231	0.098364
0.820000	0.465426	-0.997606	0.138297	-0.996848	0.138292
0.830000	0.455457	-0.996024	0.178171	-0.995067	0.178165
0.840000	0.445507	-0.994043	0.217974	-0.992887	0.217966
0.850000	0.435578	-0.991665	0.257689	-0.990310	0.257680
0.860000	0.425675	-0.988890	0.297301	-0.987337	0.297291
0.870000	0.415801	-0.985719	0.336795	-0.983970	0.336784
0.880000	0.405962	-0.982154	0.376154	-0.980208	0.376141
0.890000	0.396159	-0.978197	0.415362	-0.976055	0.415348
0.900000	0.386399	-0.973848	0.454404	-0.971511	0.454389
0.910000	0.376684	-0.969109	0.493265	-0.966578	0.493248
0.920000	0.367018	-0.963983	0.531928	-0.961259	0.531910
0.930000	0.357405	-0.958471	0.570378	-0.955556	0.570359
0.940000	0.347850	-0.952576	0.608600	-0.949470	0.608580
0.950000	0.338355	-0.946300	0.646579	-0.943004	0.646558
0.960000	0.328925	-0.939645	0.684299	-0.936161	0.684276
0.970000	0.319564	-0.932615	0.721746	-0.928944	0.721722
0.980000	0.310274	-0.925212	0.758904	-0.921355	0.758878
0.990000	0.301061	-0.917438	0.795758	-0.913398	0.795731
